table_type_e,table_type_c,table_code,district_e,district_c,nominee_count,name_e,name_c,alias_e,alias_c,gender_e,gender_c,occupation_e,occupation_c,affiliation_e,affiliation_c,date_of_nomination
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,14,KONG Kwai-sang,江貴生,,,M,男,District Councillor,區議員,ADPL,民協,31/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,14,CHONG Chi-kit,莊智傑,,,M,男,,,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,14,HUI Hau-leung,許孝良,,,M,男,Freelancer,自由工作者,,,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,14,CHOW Ka-shing,鄒家成,Owen,,M,男,Student,學生,,,28/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,15,YEUNG Suet-ying Clarisse,楊雪盈,,,F,女,District Councillor,區議員,Independent Democrat,獨立民主派,31/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,15,CHAN Hing-lun,陳慶麟,,,M,男,Student,學生,,,31/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,15,NG Yuet-lan,伍月蘭,,,F,女,District Councillor,區議員,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,15,WONG Tin-yau,黃天佑,,,M,男,Solicitor,事務律師,,,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,15,CHIU Pui-yuk Joyce,趙佩玉,,守城者,F,女,Retired Nursery Teacher,退休幼兒園老師,Peaceful Friendship Independent Candidate,和平友愛獨立候選人,28/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,16,CHUI Chi-kin,徐子見,,,M,男,District Councillor,區議員,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,16,CHAN Shu-fai Eddie,陳樹暉,,,M,男,District Councillor,區議員,,,30/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,16,FUNG Siu-yin,馮小燕,,,F,女,Community Organizer,社區幹事,,,30/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,16,WONG Pit-man,王必敏,,,F,女,District Councillor,區議員,,,30/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,16,CHEUNG Ching-ho Franco,張正皓,,,M,男,District Councilor,區議員,Independent,獨立,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,16,LAW Ting-fai,羅庭輝,,,M,男,Businessman,商人,Independent,獨立,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,16,LAW Ting-tak,羅庭德,,,M,男,North District Council Chairman,北區區議會主席,Independent,獨立,29/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,17,LAI Ching-ting,賴政婷,,,F,女,Student,學生,Democrat,民主派,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,17,LAU Chun-yin,劉俊延,,,M,男,Bank Assistant Manager,銀行助理經理,,,30/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,17,FONG Kwok-shan Christine,方國珊,,哪吒,F,女,"Elected Councillor, Engineer",民選議員、工程師,Livelihood First,最貼地民生派,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,17,LEE Sze-long,李思朗,,,M,男,Community Officer,社區幹事,Livelihood First,最貼地民生派,29/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,17,LUK Sau-ching,陸秀貞,,,F,女,Community Officer,社區幹事,Livelihood First,最貼地民生派,29/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,18,TE Wing-chi,戴穎姿,,,F,女,Student,學生,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,18,MO Kwan-tai Michael,巫堃泰,,,M,男,District Councilor,區議員,,,30/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,18,YIU Koon-tung Antony,姚冠東,,阿東,M,男,Creative Director,廣告創作總監,Universal Participation,全民參政,29/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,19,TSE Man-chak,謝旻澤,,,M,男,District Council Member,區議員,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,19,AU Cheuk-hei,區倬僖,,,M,男,University Student,大學生,Independent,獨立,30/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,20,LEUNG Kwok-ho,梁國豪,,,M,男,District Councillor,區議員,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,20,CHAN Ka-lam,陳嘉琳,Debby,,F,女,District Councilor,區議員,Democrats,民主派,30/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,21,LO Chun-man Oscar,盧俊文,,,M,男,,,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,21,FUNG Tat-chun Frankie,馮達浚,,,M,男,,,Independent Candidate,獨立候選人,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,21,WONG Ka-yan,王嘉欣,,,F,女,,,Independent Candidate,獨立候選人,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,22,LEUNG Ka-sin Jessica,梁嘉善,,,F,女,Barrister-at-Law,執業大律師,Civic Party,公民黨,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,22,SO Ho,蘇浩,,,M,男,Legislative Assistant,議員助理,People Power,人民力量,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,23,CHOI Wai-yuen,蔡蔚苑,,,F,女,,,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,23,CHONG Wing-fai Winfield,莊榮輝,,,M,男,,,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,23,SIN Cheuk-nam,冼卓嵐,,,M,男,,,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,24,CHIU Po-kam Lucia,趙寶琴,,,F,女,Registered Nurse,註册護士,,,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,24,WONG Chun-lam,王振霖,,,M,男,Bus Driver,巴士車長,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,24,CHEUNG Oi-ling,張愛羚,,,F,女,Educator,教育工作者,Independent Candidate,獨立候選人,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,25,TSANG Ka-lam,曾家霖,,,M,男,,,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,26,WONG Man-huen,黃文萱,,,F,女,Shatin District Councillor,沙田區議員,Civic Party,公民黨,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,27,CHAN Kwok-keung,陳國強,James,,M,男,Merchant,商人,,,31/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,28,LAM Sze-yiu,林思瑤,,,F,女,Assistant of District Councilor,議員助理,Democrats,民主派,31/7/2020
