table_type_e,table_type_c,table_code,district_e,district_c,nominee_count,name_e,name_c,alias_e,alias_c,gender_e,gender_c,occupation_e,occupation_c,affiliation_e,affiliation_c,date_of_nomination
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,CHAN Han-pan,陳恒鑌,,,M,男,Councillor,議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,KWOK Fu-yung,郭芙蓉,,,F,女,Kwai Tsing District Council Member,葵青區議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,KWOK Wai-man Mealoha,郭慧文,,,F,女,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LEE Wang-fung,李宏峯,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LEUNG Kar-ming,梁嘉銘,,,F,女,District Council Member,區議員,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,LI Sai-lung,李世隆,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,NG Chun-yu,伍俊瑜,,,M,男,,,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,PAU Ming-hong,鮑銘康,,,M,男,Assistant Co-ordinator,助理統籌主任,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,2,TSANG Tai,曾大,,,M,男,Assistant Co-ordinator,助理統籌主任,DAB,民建聯,20/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,2,CHAN Yuk-ngor Estella,陳玉娥,Jenny,娥姐,F,女,Director,公司董事,Independent Non-affiliated Candidate,獨立無黨派候選人,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,"Sports, Performing Arts, Culture and Publication",體育、演藝、文化及出版界,3,FOK Kai-kong Kenneth,霍啟剛,,,M,男,Merchant,商人,,,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,3,TAM Heung-man,譚香文,,,F,女,Accountant,會計師,Pan Democratic,民主派,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,3,LO Hon-ho,盧翰豪,,,M,男,"Director, Food Factory",食物製造廠董事,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,3,LAU Pui-yuk,劉佩玉,,,F,女,District Councillor,區議員,DAB,民建聯,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Education,教育界,3,CHIANG Man-ching,蔣旻正,,,M,男,"*Teacher, District Councilor, Editor, Writer",*教員、區議員、編輯、作者,,,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Engineering,工程界,3,WONG Wai-shun,黃偉信,,,M,男,Engineer,工程師,,,24/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,3,CHEUNG Wah-fung Christopher,張華峯,,張華峰,M,男,Securities Dealer,證券交易商,Business and Professionals Alliance for Hong Kong,香港經濟民生聯盟,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,3,CHAN Kwok-shing,陳國誠,,,M,男,Registered Nurse,註冊護士,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Information Technology,資訊科技界,3,LI Kai-ming,李啟明,,,M,男,,,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,3,LAM Chun-sing,林振昇,,,M,男,Trade Union Staff,工會工作者,The Federation of Hong Kong and Kowloon Labour Unions,港九勞工社團聯會,23/7/2020
Functional Constituencies,功能界別,FC_ALLO,Legal,法律界,3,DYKES Philip John,DYKES Philip John,,戴啓思,M,男,Senior Counsel,資深大律師,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,3,LUI Chi-hang Hendrick,呂智恆,,,M,男,Social Worker,社工,,本土抗爭,27/7/2020
Functional Constituencies,功能界別,FC_ALLO,Tourism,旅遊界,3,CHOW Kam-kei Frankie,周錦基,,,M,男,Director of Online Travel Media,網上旅遊媒體董事,Independent Candidate,獨立候選人,29/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,3,KWONG Chun-yu,鄺俊宇,,,M,男,Legislative Councillor,立法會議員,The Democratic Party,民主黨,25/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,3,LAI Chun-wing,黎駿穎,,,M,男,District Councilor,區議員,The Democratic Party,民主黨,25/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHAN Hoi-wing,陳凱榮,,,M,男,Community Officer,社區主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHEUNG Kwok-kwan,張國鈞,,,M,男,Solicitor,律師,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,CHEUNG Wai-nam,張偉楠,,,M,男,Community Officer,社區主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,LAU Tin-ching,劉天正,,,M,男,Corporate Communication Officer,企業傳訊主任,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,3,MUK Ka-chun,穆家駿,,,M,男,Secondary School Teacher,中學教師,DAB,民建聯,18/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,3,CHENG Wing-shun Vincent,鄭泳舜,,,M,男,Legislative Councilor,立法會議員,Democratic Alliance for the Betterment and Progress of Hong Kong (DAB),民主建港協進聯盟(民建聯),22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,3,LAM Tak-shing,林德成,,,M,男,District Councilor,區議員,Democratic Alliance for the Betterment and Progress of Hong Kong (DAB),民主建港協進聯盟(民建聯),22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,3,LAM Wai-man Raymond,林偉文,,,M,男,,調解員,Democratic Alliance for the Betterment and Progress of Hong Kong (DAB),民主建港協進聯盟(民建聯),22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,3,SIU Tin-hung,邵天虹,,,M,男,,社區幹事,Democratic Alliance for the Betterment and Progress of Hong Kong (DAB),民主建港協進聯盟(民建聯),22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,3,WONG Chi-fung,黃之鋒,,,M,男,,,Democratic Camp,民主派,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,CHAN On-ni,陳安妮,,,F,女,,,The Hong Kong Federation of Trade Unions,香港工會聯合會,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,FU Hiu-lam Sammi,傅曉琳,,,F,女,Accountant,會計師,New People's Party,新民黨,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,HUANG Sihong,黃思鴻,,,F,女,,,The Hong Kong Federation of Trade Unions,香港工會聯合會,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,KOT Siu-yuen,葛兆源,,,M,男,Tsuen Wan District Councilor,荃灣區議員,The Hong Kong Federation of Trade Unions,香港工會聯合會,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,LAU Chin-pang,劉展鵬,,,M,男,,,The Hong Kong Federation of Trade Unions,香港工會聯合會,20/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,3,MAK Mei-kuen Alice,麥美娟,,,F,女,Legislative Councillor,立法會議員,The Hong Kong Federation of Trade Unions,香港工會聯合會,20/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,3,WONG Siu-kin,黃兆健,,,M,男,District Councillor,區議員,Civic Passion,熱血公民,18/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,4,LAM Williamson,林全智,,,M,男,Certified Public Accountant,會計師,,,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Catering,飲食界,4,HO Wing-tsam,何頴沁,,,F,女,Businesswoman,商人,,,31/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,4,ZIMMERMAN Paulus Johannes,司馬文,Paul Zimmerman,,M,男,District Councillor,區議員,Independent Democrat,獨立民主派,28/7/2020
Functional Constituencies,功能界別,FC_ALLO,Financial Services,金融服務界,4,LAM Ho-por Kelvin,林浩波,,,M,男,"District Councillor, Economic Adviser",區議員、經濟顧問,Pan-Democrats,民主派,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,4,CHENG Siu-ping,鄭少萍,,,F,女,Nurse,護士,,,31/7/2020
Functional Constituencies,功能界別,FC_ALLO,Information Technology,資訊科技界,4,FUNG Chun-wah Sammy,馮振華,,,M,男,Data Engineer,數據工程師,,,31/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,4,HOU Chui-shan Heidi,侯翠珊,Cat,,F,女,Bartender,調酒師,Bartenders & Mixologists Union of Hong Kong (CHIEGU),香港調酒師工會（飲食及酒店業職工總會）,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,4,TSANG Kin-chiu,曾健超,,,M,男,"Registered Social Worker, District Councilor",註冊社工、區議員,Independent Pro-Democracy Camp,獨立民主派,29/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,4,LEE Wai-king Starry,李慧琼,,,F,女,"Councillor, Accountant",議員、會計師,"DAB, FTU",民建聯、工聯會,27/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,4,LO Yuen-ting,盧婉婷,,,F,女,District Councillor,區議員,"DAB, FTU",民建聯、工聯會,27/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,4,NGAN Man-yu,顏汶羽,,,M,男,District Councillor,區議員,"DAB, FTU",民建聯、工聯會,27/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,4,WAN Wo-tat Warwick,温和達,,,M,男,District Councillor,區議員,"DAB, FTU",民建聯、工聯會,27/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,4,CHAN Wing-yan,陳榮恩,,,F,女,,地區工作者,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,4,HO Ngai-kam Stanley,何毅淦,,,M,男,,地區工作者,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,4,KWOK Wai-keung,郭偉强,,,M,男,,區議員、立法會議員,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,4,LEUNG Chung-yan Juan,梁頌恩,,,F,女,Insurance,,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,4,LUI Hung-pan,呂鴻賓,,,M,男,Social Worker,註冊社工,FTU,工聯會,20/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,4,SHAM Tsz-kit,岑子杰,Jimmy,,M,男,District Councillor,區議員,League of Social Democrats,社會民主連線,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,4,TAM Tak-chi,譚得志,,快必,M,男,"Radio Host, Political commentator",電台主持、政治評論員,People Power,人民力量,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,4,KWOK Ka-ki,郭家麒,,,M,男,"Surgeon, Legislative Council Member",外科醫生、立法會議員,Civic Party,公民黨,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,CHAN Hak-kan,陳克勤,,,M,男,Legislative Councilor,立法會議員,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,LARM Wai-leung,藍偉良,,,M,男,,,Individual,獨立,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,LO Chi-ping,羅志平,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,MUI Siu-fung,梅少峰,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,PUN Hau-man,潘孝汶,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,TSANG Hing-lung,曾興隆,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,WOO Kin-man Clement,胡健民,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,WU Cheuk-him,胡綽謙,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,4,YIU Ming,姚銘,,,M,男,,,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,5,WONG Wang-tai,黃宏泰,,,M,男,Certified Public Accountant,會計師,,,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,5,LEE Ka-wai,李家偉,,,M,男,Member of District Council,全職區議員,Independent,獨立,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,Health Services,衞生服務界,5,LAU Hoi-man Michael Felix,劉凱文,,,M,男,Registered Nurse,註冊護士,Independent Democrat,獨立民主派,31/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,5,TANG Cheuk-man,鄧卓文,,,M,男,,,Hong Kong Information Technology Workers' Union,香港資訊科技界工會,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,Social Welfare,社會福利界,5,TSANG Kam-wing,曾錦榮,,,M,男,Member of Tuen Mun District Council,屯門區議員,,,30/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,5,LEE Hin-long,李軒朗,Timothy,,M,男,District Councillor,區議員,Independent Candidate,獨立候選人,29/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,5,WONG Pak-yu,王百羽,Super Tank,超區坦克車,M,男,District Councillor,區議員,Independent Candidate,獨立候選人,29/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,5,LEUNG Fong-wai Fergus,梁晃維,,,M,男,District Council Member,區議員,Independent,獨立,20/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,5,CHAN Kwok-wai,陳國偉,,,M,男,District Advisor,地區顧問,"Business and Professionals Alliance for Hong Kong, Kowloon West New Dynamic",香港經濟民生聯盟、西九新動力,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,5,LEE Chiu-yu,李超宇,,,M,男,Community Officer,社區主任,"Business and Professionals Alliance for Hong Kong, Kowloon West New Dynamic",香港經濟民生聯盟、西九新動力,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,5,LEUNG Man-kwong,梁文廣,,,M,男,Legislative Assistant,立法會議員助理,"Business and Professionals Alliance for Hong Kong, Kowloon West New Dynamic",香港經濟民生聯盟、西九新動力,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,5,LEUNG Mei-fun,梁美芬,,,F,女,"Legislative Councillor, Barrister-at-Law, Hong Kong",立法會議員、香港大律師,"Business and Professionals Alliance for Hong Kong, Kowloon West New Dynamic",香港經濟民生聯盟、西九新動力,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,5,TAM Man-ho Jeremy Jansen,譚文豪,,,M,男,Legislative Councillor,立法會議員,Civic Party,公民黨,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,CHONG Chin-ming,莊展銘,,,M,男,Director,公司董事,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,CHOW Ho-ding Holden,周浩鼎,,,M,男,"Legislative Councilor, Solicitor",立法會議員、執業律師,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,IP Chun-yuen,葉俊遠,,,M,男,Solicitor,執業律師,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,LAI Ka-man,賴嘉汶,,,F,女,Tuen Mun District Council Member,屯門區議員,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,SZE TO Chun-hin,司徒駿軒,,,M,男,Community Officer,社區幹事,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,5,YIP Man-pan,葉文斌,,,M,男,Community Officer,社區主任,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,CHAN Wan-tung,陳運通,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,CHIU Chu-pong,趙柱幫,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,HUI Yui-yu,許銳宇,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,LAU Wing-hong,劉頴匡,Ventus,,M,男,,,Localist,本土派,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,LI Chi-wang,李志宏,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,LO Tak-ming,盧德明,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,SHEK William,石威廉,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,WONG Ho-fung,黃浩鋒,,,M,男,District Councilor,區議員,,,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,5,WONG Hok-lai,黃學禮,,,M,男,District Councilor,區議員,,,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,Accountancy,會計界,6,CHEUNG Wai-lun William,張煒麟,,,M,男,Accountant,會計師,,,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,6,YAM Kai-bong,任啟邦,,,M,男,Full Time District Councilor,全職區議員,Neo Democrats,新民主同盟,29/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,6,TSUI Hau-lai,徐考澧,,,M,男,,,Hong Kong Confederation of Trade Union (CHIEGU-HKHEU),香港職工會聯盟、飲食及酒店業職工總會分會香港酒店工會,29/7/2020
Functional Constituencies,功能界別,FC_DS,District Council (second),區議會（第二）,6,CHAN Kim-kam,陳劍琴,,,F,女,District Councillor,區議員,,,29/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,6,YUEN Ka-wai Tiffany,袁嘉蔚,,,F,女,District Councilor,區議員,Democrat,民主派,20/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,6,MO Man-ching Claudia,毛孟靜,,,F,女,Legislative Councillor,立法會議員,*Independent Democrat,*獨立民主派,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,6,LI Ka-tat,李嘉達,,,M,男,District Councilor,區議員,*Localist,*本土派,23/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,6,CHEUNG Ho-sum,張可森,,,M,男,Tuen Mun District Council Member,屯門區議員,Tuen Mun Community Network,屯門社區網絡,27/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,6,HO Kwai-lam,何桂藍,,,F,女,,,Democrats,民主派,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,7,MAK Tak-ching,麥德正,,,M,男,District Councillor,區議員,Labour Party,工黨,30/7/2020
Functional Constituencies,功能界別,FC_ALLO,Labour,勞工界,7,YAU Yiu-shing,丘燿誠,,,M,男,Union Worker,工會工作者,,,31/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,7,CHENG Tat-hung,鄭達鴻,,,M,男,District Councillor,區議員,Civic Party,公民黨,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,7,HO Kai-ming Kalvin,何啟明,,,M,男,,,ADPL,民協,22/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,7,LEE Hon-ting,利瀚庭,,,M,男,,,ADPL,民協,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,7,TSE Wai-chun Paul,謝偉俊,,,M,男,Solicitor,律師,Independent,獨立,25/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,7,WONG Ji-yuet,黃子悅,,,F,女,Student,學生,,,27/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,7,YEUNG Alvin Ngok-kiu,楊岳橋,,,M,男,Barrister,執業大律師,Civic Party,公民黨,22/7/2020
Functional Constituencies,功能界別,FC_ALLO,District Council (first),區議會（第一）,8,MOCK Ho-chit Sean,莫灝哲,,,M,男,District Councilor,區議員,Choi Hung Estate Social Service Association,彩虹邨服務聯會,30/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,8,HUI Chi-fung,許智峯,,,M,男,Full-time Legislative Council Member,全職立法會議員,The Democratic Party,民主黨,25/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,8,CHEUNG Kwan-yang Sunny,張崑陽,,,M,男,,,,民主派,22/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,8,CHENG Keng-ieong,鄭景陽,,,M,男,District Councillor,區議員,The Democratic Party,民主黨,27/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,8,MOK Ka-han Rosanda,莫嘉嫻,,,F,女,District Councillor,區議員,The Democratic Party,民主黨,27/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,8,WU Chi-wai,胡志偉,,,M,男,Legislative Councillor,立法會議員,The Democratic Party,民主黨,27/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,8,LEUNG Fei-suet,梁飛雪,,,F,女,Doctoral Student of Business Administration,工商管理博士研究生,,,27/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,CHAN Pok-chi,陳博智,,,M,男,,,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,LI Ka-leung Philip,李家良,,,M,男,,,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,LI Sai-wing,李世榮,,,M,男,CEO of NGO,非政府機構總幹事,"DAB, NTAS",民建聯、新界社團聯會,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,NG Kai-tai,吳啟泰,,,M,男,,,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,QUAT Elizabeth,葛珮帆,EQ,,F,女,Legislative Council Member,立法會議員,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,SZE Pan-pan,施彬彬,Amber,小施妹,F,女,Community Officer,社區主任,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,TUNG Kin-lei,董健莉,,,F,女,Community Worker,社區工作者,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,WAN Kai-ming,温啟明,,,M,男,,,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,8,WONG Ping-fan,黃冰芬,,,F,女,Community Worker,社區工作者,DAB,民建聯,22/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,9,CHAN Judy Kapui,陳家珮,,,F,女,Regional Development Officer,區域發展主任,New People's Party,新民黨,27/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,9,CHAU Cheuk-yin,周卓然,,,M,男,Senior Manager of a Bank,銀行經理,New People's Party,新民黨,27/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,9,IP LAU Suk-yee Regina,葉劉淑儀,,,F,女,Member of Legislative Council & Executive Council,立法會議員及行政會議成員,New People's Party,新民黨,27/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,9,KWOK Ho-king Calvin,郭浩景,,,M,男,Financial Quantitative Analyst,金融計量分析師,New People's Party,新民黨,27/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,9,LIU Tin-shing,廖添誠,,,M,男,Lecturer,講師,New People's Party,新民黨,27/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,9,POON Chuk-hung,潘焯鴻,,,M,男,Businessman,商人,Independent,獨立,27/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,9,LEUNG Jannelle Rosalynne,梁凱晴,,,F,女,District Councillor of Kwun Tong,觀塘區議員,Democratic Camp,民主派,27/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,9,CUA Chiu-fai David,柯朝暉,,大衛Sir,M,男,Senior Tutor,高級導師,Independent Candidate,獨立候選人,27/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,9,HO Kwan-yiu,何君堯,,,M,男,"Lawyer, LegCo Member",律師、立法會議員,Independent Candidate,獨立候選人,27/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,9,HUI Man-fung Matthew,許民楓,,黑超哥,M,男,Business Manager,業務經理,Independent Candidate,獨立候選人,27/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,9,YEUNG Kwun-wah,楊官華,,華記,M,男,Businessman,商人,Independent Candidate,獨立候選人,27/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,9,CHAN Chi-chuen Raymond,陳志全,Slowbeat,慢必,M,男,Member of Legislative Council,立法會議員,People Power,人民力量,22/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,10,YUEN Mi-chang,袁彌昌,,,M,男,Senior Research Consultant,高級研究顧問,,,27/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,10,SIN Chi-wing,冼志榮,,,M,男,,工人,,,27/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,10,YEUNG Wai-yip,楊偉業,,,M,男,,裝修工程,,,27/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,10,KWOK Chi-chung,郭志聰,,,M,男,District Councillor,區議員,Democratic Camp,民主派,31/7/2020
Geographical Constituencies,地方選區,LC4,New Territories West,新界西,10,CHU Hoi-dick Eddie,朱凱廸,,,M,男,Legislative Councillor,立法會議員,,,28/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,10,FAN Gary Kwok-wai,范國威,,,M,男,District Councillor,區議員,Neo Democrats,新民主同盟,23/7/2020
Geographical Constituencies,地方選區,LC5,New Territories East,新界東,10,LAI Ming-chak,黎銘澤,,,M,男,District Councillor,區議員,Neo Democrats,新民主同盟,23/7/2020
Geographical Constituencies,地方選區,LC1,Hong Kong Island,香港島,11,LEE Yue-shun,李予信,,,M,男,"Registered Social Worker, District Councillor",註冊社工、東區區議員,Civic Party,公民黨,30/7/2020
Geographical Constituencies,地方選區,LC2,Kowloon West,九龍西,11,CHENG Sze-lut,鄭司律,,,M,男,*Policy Researcher,*政策研究員,,獨立民主派,29/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,11,CHEUNG Mau-ching,張茂清,,,M,男,District Councillor,區議員,The Democratic Party,民主黨,31/7/2020
Geographical Constituencies,地方選區,LC3,Kowloon East,九龍東,11,IP Tsz-kit,葉梓傑,,,M,男,District Councillor,區議員,The Democratic Party,民主黨,31/7/2020
